ASIN,Review_Title,Review_Content,Rating,Reviewer,Country,Review_Date,Review_Link,Sentiment,Motivation_Type
B0BZ88PLBS,,"الكروم الجانبي ممتاز
يحتاج لاضافة حساس للحراره
لكنه بشكل عام  كامل من جميع النواحي",5,mansour alhammadi,US,2026-01-14,https://www.amazon.com/gp/customer-reviews/R2COACXMD48AJC?ie=UTF8&ASIN=B084ZDVGVL,Positive,其他
B0BQMLT4JP,,Oil pressure gauge is unreliable and sends reading spastically all over the place one second it will read 45 psi then 245 then 5.,2,carrie ervin,US,2025-12-19,https://www.amazon.com/gp/customer-reviews/R20F36EDELA64U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,其他
B0BQMLT4JP,,"Do not waste your money. These are inaccurate and slow response. I would not trust these on my lawnmower much less something I care about. I learned my lesson, you get what you pay for.",1,Cami Ricci,US,2025-12-14,https://www.amazon.com/gp/customer-reviews/R27SU6ODLAAKSG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,品質信任
B0BZ88PLBS,,"Not worth the time to install. The only one that works accurately is gps speedo. Tack, feul ,oil psi, temp all  inaccurate and flash the warning lights.. look nice but wouldn't buy again.",1,Walt sepanski,US,2025-12-13,https://www.amazon.com/gp/customer-reviews/R3NJ7P0YAFKK4S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,功能需求
B0D8L4LFCD,,Installed them into a 57 Thunderbird dash.,5,Mitch,US,2025-11-04,https://www.amazon.com/gp/customer-reviews/R2FM6UCGWU3B8S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,其他
B0BQMHJDSF,,"Install is a nightmare, sending units and cluster are proprietary so no swapping sending units if they break. Never got the tach to work with my vehicle or pcm. Fuel gauge is good but bounces around a lot. Speedo gps function is nice but occasionally resets itself mid drive. Volt meter is accurate and water temp is spot on. Oil gauge has a huge range, 58 pounds is the first marker (which is pretty much the entire operating range for most v8s) not sure why you’d need 145 psi range.

Overall they look good and for the money they’re pretty nice. Not sure how long they’ll last tho",4,Fernando Lemus,US,2025-10-21,https://www.amazon.com/gp/customer-reviews/R1WJZYXORWZUOR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B0793LBDGY,,The lights on gauges could be better!!!,3,Debra N.,US,2025-09-29,https://www.amazon.com/gp/customer-reviews/RSU3SICUU5PDN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Neutral,其他
B07M9MSNZQ,,Gps speedometer does not work. Support is non existant,1,Chris I,US,2025-08-31,https://www.amazon.com/gp/customer-reviews/REOB399O9IZYE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,功能需求
B0C8MW9P1P,,Looks great in my 1931 imperial,5,Jg service,US,2025-08-12,https://www.amazon.com/gp/customer-reviews/RGOSXVQBC2V1Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,外觀偏好
B0793N7B7P,,Don't buy it. The tachometer does not work. And the rest are finicky,1,Retlub89,US,2025-07-25,https://www.amazon.com/gp/customer-reviews/R14T872RBTZZ5W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,其他
B07M9MSNZQ,,Made a custom dash! Need to get ahold of them as my fuel gauge shows 20 percent but my tank is empty. Setting is correct. Oil pressure is stuck at 80 psi when I key on. Anybody know how to get ahold of these people? I don’t want to build a different dash cluster/bezel,2,Troy,US,2025-07-24,https://www.amazon.com/gp/customer-reviews/R3553PBRZYPUGT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,其他
B07M9MSNZQ,,"The guages look sweet! However after my instll you can't read the guages! The tach worked crazy for seconds then went to 0 and stayed. The speedo gives you readings when it feels like. I contacted the manufacturer by email I sent pictures that was requested, they just stopped emailing me, so I'm now removing them and returning them! too much money for a product that doesn't work, on top of no response or replacements. Not worth the money or the Hassell",1,Daddy Dave,US,2025-07-06,https://www.amazon.com/gp/customer-reviews/R2N27FEYNRDND8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,外觀偏好
B07M9MSNZQ,,The tach will work for about 1 minute then just stop. Un plug it and retest and same thing. Get a replacement and no change. Different brand and problem gone.,1,TJ Brantman,US,2025-06-29,https://www.amazon.com/gp/customer-reviews/R15MMZ7V9FJT2O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,品牌信任
B0C8J3FKJZ,,"I am very disappointed with these gauges. I should have read the reviews first. There are a lot of purchasers that state the gauges are cheaply made and do not work properly. That is correct! I bought a 6 gauge set and had them put into my classic car for $256.00 in labor and 3 of the 6 gauges did not work. The speedometer was inaccurate, the battery gauge was inaccurate and the water temp gauge registered 240+degrees when the actual temp was 180. In addition I tried to reach out to manufacturer to no avail. Email response server error and no one answers phone. Now I’m out almost $500 parts and labor. The mechanics are going to charge me an additional $159 to remove the gauges. Very disappointed!!!",1,Jason Kyle madison,US,2025-06-04,https://www.amazon.com/gp/customer-reviews/RDQS27ETIFGXB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,功能需求
B0D4DLTH8H,,haven’t installed yet but gauges are a perfect fit to replace the original gauges for my 1956 Ford Fairlane,4,Roy L.,US,2025-05-19,https://www.amazon.com/gp/customer-reviews/R1QDSR70J2NBDO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,規格適配
B0D8L4LFCD,,These gauges are great. They work perfect on my Dodge charger. Every gauge has its own duty and the packaging was perfect. Packaging was sealed correctly and no damage to the box. These gauges are universal and will work on most cars from old to new. There was even a gauge with GPS integrated for the speedometer. These gauges are durable and made with high-quality material.,5,Isabelle,US,2025-04-02,https://www.amazon.com/gp/customer-reviews/R34BTKKGBKQYH2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,品質信任
B0BQMLT4JP,,"Fuel gauge did not properly work even with a fuel bridge.... Water temperature center ridgeway , high and low pressure reached low.... Even bought separate replacement fuel gauge and still did not work right",2,Bandit,US,2025-04-01,https://www.amazon.com/gp/customer-reviews/R1AOHAF5CATUUN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,其他
B0793N7B7P,,Very nice looking gauges,5,Amazon Customer,US,2025-03-12,https://www.amazon.com/gp/customer-reviews/R2A11QMKZ3B6YF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,外觀偏好
B0D8L5FG8W,,"Really nice gauge setup, looks great, exactly as described, and performs as expected.",5,Brandon,US,2025-02-18,https://www.amazon.com/gp/customer-reviews/R30OTZYF2A0IJG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,外觀偏好
B0D8L5FG8W,,"Looking forward to installing these gauges in my '48 Plymouth rebuild.  They have the style, great sizes for readability, mounting hardware easy to use, and come with all necessary sensors.  Probably found a new performance company.  Will update on gauge accuracy, but they seem quality and a great value.",5,Taborri,US,2025-02-12,https://www.amazon.com/gp/customer-reviews/R25M83JYOYHTNG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0BZ88PLBS,,"Used in a classic truck and all gauges except the tachometer work very well. GPS speedometer is accurate and wiring was easy.

I think the tachometer is for use with a newer vehicle because from what I have seen you can't just connect it to the negative side of the coil.",4,Bluecube448,US,2025-02-06,https://www.amazon.com/gp/customer-reviews/R2EDWQP1BUMTKC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B07M9MSNZQ,,"Very cheap quality. Tachometer wouldn’t stop beeping, then it completely died after about ten minutes. 👎👎👎👎👎",1,Paw paw X,US,2025-01-24,https://www.amazon.com/gp/customer-reviews/R2GPXEQ861A9D3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,品質信任
B0793N7B7P,,I rebuilt all of the gauges in my 1965 Barracuda. All of the sensors that came with the set all work and all the gauges work the way they’re supposed to. I’m very pleased with the outcome of the gauges in the dash they look amazing and it still gives it that classic look that the 60s cars had back then.,5,hunter,US,2025-01-24,https://www.amazon.com/gp/customer-reviews/R2JWVBX4H9SSHQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,外觀偏好
B0D8L4LFCD,,The gauges work great and are direct fit. Looks great when they light up. Great investment for the engine management.,5,Brandi Cambric,US,2025-01-11,https://www.amazon.com/gp/customer-reviews/R3KYWDUOL2QK0F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,外觀偏好
B0D8L5FG8W,,"This is a very nice set of gauges. I am used to gauges that have a wide bar on the back to secure them in place. These gauges have a narrow amount if spacing for the mounting hole. The back ring screws on the back of the gauges and is just slightly bigger than the gauge diameter. So these take up much less room on the back sides.

Hooking up each gauge is straight forward. You should not have any problems at all. I like the red backlighting on each gauge. If you are looking for a set of gauges that look nice, check these out.",5,Kriss L,US,2025-01-02,https://www.amazon.com/gp/customer-reviews/R3PHUEPPYADYDN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,外觀偏好
B081JDKD5X,,FIT,5,Very useful.. 100%,US,2024-12-18,https://www.amazon.com/gp/customer-reviews/R2P7U1216YQDG5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,規格適配
B0D8L4LFCD,,"I got these for a replacement dash I put together for a 72 Ford. The instructions are clear and straightforward. Even if you haven't worked with automotive gauges, the setup is easy. I had no issues with the sensors and I usually do with gas tank sending units for some reason.",5,PharmDad,US,2024-12-14,https://www.amazon.com/gp/customer-reviews/R23B73LAZYMUA5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,其他
