ASIN,Review_Count,Avg_Rating,Positive_Count,Negative_Count,Main_Motivation
B00D0I4YV0,5,4.0,4,1,其他
B078N1HB7F,11,4.45,9,1,其他
B078N1HHCY,7,3.0,4,3,外觀偏好
B0793LBDGY,41,2.12,10,27,品質信任
B0793N7B7P,45,3.09,18,27,其他
B07M9MSNZQ,18,2.5,6,11,其他
B07XFHWYG2,2,1.0,0,2,其他
B081JDKD5X,40,4.22,31,7,其他
B081JDPKSV,68,3.51,53,13,其他
B084ZDVGVL,3,1.67,0,2,其他
B084ZDXMMK,5,3.2,3,2,其他
B08NVHH1WB,6,2.0,1,4,其他
B08SBVCNYT,4,3.5,3,1,其他
B0952STSM5,26,4.85,25,1,其他
B09DP9KY1C,1,5.0,1,0,其他
B0BQMHJDSF,2,4.5,2,0,功能需求
B0BQMLT4JP,5,2.2,1,4,其他
B0BZ851KRY,50,3.0,25,25,其他
B0BZ88PLBS,27,4.67,25,2,其他
B0C8J3FKJZ,1,1.0,0,1,功能需求
B0C8J51W3P,1,4.0,1,0,其他
B0C8MW9P1P,1,5.0,1,0,外觀偏好
B0C8N4XQG2,1,1.0,0,1,功能需求
B0C8SYTGPD,1,2.0,0,1,價格敏感
B0CGH7L1WB,2,3.5,1,1,其他
B0CGHCSD3K,1,2.0,0,1,外觀偏好
B0CGHD1P25,2,3.0,1,1,價格敏感
B0CGHHBP4J,2,2.0,0,2,其他
B0CGHHX9TM,3,3.33,2,1,價格敏感
B0D4DD23WX,32,4.94,32,0,其他
B0D4DLTH8H,6,4.83,6,0,價格敏感
B0D6B6S8YQ,1,5.0,1,0,品質信任
B0D6B7HXJ9,1,5.0,1,0,其他
B0D8L4LFCD,11,4.82,11,0,其他
B0D8L5FG8W,14,4.43,12,1,價格敏感
B0FGRK8J3X,1,1.0,0,1,其他
B0FPQPWXFB,1,5.0,1,0,功能需求
